idx,subsi,account,url,mkt_name,page_type,slide_YN,slide_path,toolbar_YN,toolbar_xpath,click_YN,click_xpath,desc
64,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-256gb-purple,lo11_256gb_12,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[1]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
65,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-256gb-purple,lo11_256gb_24,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[2]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
66,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-256gb-purple,lo11_256gb_36,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[3]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
67,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-pro-64gb-midnight-green,lo11_pro_64gb_12,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[1]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
68,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-pro-64gb-midnight-green,lo11_pro_64gb_24,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[2]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
69,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-pro-64gb-midnight-green,lo11_pro_64gb_36,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[3]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
70,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-pro-256gb-midnight-green,lo11_pro_256gb_12,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[1]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
71,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-pro-256gb-midnight-green,lo11_pro_256gb_24,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[2]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
72,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-pro-256gb-midnight-green,lo11_pro_256gb_36,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[3]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
73,SEAU,VODAFONE AU,https://shop.vodafone.com.au/mobile-details/iphone-11-pro-512gb-midnight-green,lo11_pro_512gb_12,sp_1,,,Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[3]/div/div/div[1]/div[1]",Y,"//*[@id=""content-wrapper""]/div[2]/div[5]/div/div/react-component/div/div/div[2]/div[1]/div/div/div[2]/div/div/div/div/div[2]/div[1]/div/div[2]/div/div/div[1]/label","다른 color가 available한 경우 선택지가 뜸 / period 선택 후 ""Select and continue"" 클릭해야 data plan 나옴, 슬라이드 왼쪽 오른쪽 끝까지 필요"
